threshold,objective,base_f1,base_balanced_accuracy,hard_balanced_accuracy,hard_specificity,hard_recall
0.3,0.8425697561353922,0.8468266427450101,0.8441954951869411,0.8374999999999999,0.975,0.7
0.31,0.8438611016438696,0.84877169258508,0.8467621230491882,0.8374999999999999,0.975,0.7
0.32,0.8436634256521415,0.8482789855072463,0.8467591572462145,0.8374999999999999,0.975,0.7
0.33,0.845304575998874,0.8508412914961346,0.8498402970021004,0.8374999999999999,0.975,0.7
0.34,0.8460021933399107,0.8518603058662406,0.8512903549670718,0.8374999999999999,0.975,0.7
0.35,0.8401906272207891,0.8531500572737686,0.8529863548897414,0.8208333333333333,0.975,0.6666666666666666
0.36,0.8407717222507165,0.8539894228558289,0.8542130988752576,0.8208333333333333,0.975,0.6666666666666666
0.37,0.8415086114039662,0.8550289017341041,0.8558185868849557,0.8208333333333333,0.975,0.6666666666666666
0.38,0.8413790103034281,0.8546173528727611,0.8559936791049514,0.8208333333333333,0.975,0.6666666666666666
0.39,0.8423413128811561,0.8560747663551402,0.8578903650288331,0.8208333333333333,0.975,0.6666666666666666
0.4,0.8430896467981824,0.8571428571428571,0.859495853038531,0.8208333333333333,0.975,0.6666666666666666
0.41,0.8481198306064057,0.8570077995745686,0.8599168872162248,0.8333333333333333,1.0,0.6666666666666666
0.42,0.8477087737185687,0.8561936402467963,0.8594899214325838,0.8333333333333333,1.0,0.6666666666666666
0.43,0.847926490350974,0.8563931297709924,0.8601795255462186,0.8333333333333333,1.0,0.6666666666666666
0.44,0.8484626789055261,0.8571428571428571,0.8613610135752491,0.8333333333333333,1.0,0.6666666666666666
0.45,0.8472825800941528,0.855009633911368,0.8597269659813611,0.8333333333333333,1.0,0.6666666666666666
0.46,0.8466403043359128,0.8538294273979222,0.8588760002170528,0.8333333333333333,1.0,0.6666666666666666
0.47,0.8465992262041928,0.85360524399126,0.8591189763717773,0.8333333333333333,1.0,0.6666666666666666
0.48,0.8460791012957851,0.8526187576126675,0.8584913245869241,0.8333333333333333,1.0,0.6666666666666666
0.49,0.8461350804617156,0.852603275482767,0.8588021846763771,0.8333333333333333,1.0,0.6666666666666666
0.5,0.8459621427822481,0.8521611001964636,0.8588218468516464,0.8333333333333333,1.0,0.6666666666666666
0.51,0.845726447388238,0.8516510596352883,0.8586634510039464,0.8333333333333333,1.0,0.6666666666666666
0.52,0.8388226727523175,0.8511374876360039,0.8585050551562462,0.8166666666666667,1.0,0.6333333333333333
0.53,0.8379392025167027,0.8495662949194548,0.8572300894112705,0.8166666666666667,1.0,0.6333333333333333
0.54,0.8378527422230908,0.8492399700971841,0.8574504375877521,0.8166666666666667,1.0,0.6333333333333333
0.55,0.837305904541295,0.8481203007518797,0.8569555878693825,0.8166666666666667,1.0,0.6333333333333333
0.56,0.8364111809433441,0.84652097462949,0.8556806221244069,0.8166666666666667,1.0,0.6333333333333333
0.57,0.8338190651991852,0.841919191919192,0.8519236088242086,0.8166666666666667,1.0,0.6333333333333333
0.58,0.8321354178855117,0.8388733823902563,0.8495969913137122,0.8166666666666667,1.0,0.6333333333333333
0.59,0.823773299645906,0.8357980622131566,0.8472703738032161,0.8,1.0,0.6
0.6,0.8163341560673594,0.834314980793854,0.8463741520824221,0.7833333333333333,1.0,0.5666666666666667
0.61,0.813979448528496,0.8300720906282183,0.8430863947193767,0.7833333333333333,1.0,0.5666666666666667
0.62,0.80733578171112,0.8299741602067183,0.8433972548088299,0.7666666666666666,1.0,0.5333333333333333
0.63,0.8061629576553512,0.8277474668745128,0.8419865211943969,0.7666666666666666,1.0,0.5333333333333333
0.64,0.804457035212039,0.824634655532359,0.8396825316621437,0.7666666666666666,1.0,0.5333333333333333
0.65,0.7951203924466372,0.8198269079464988,0.8359481463401881,0.75,1.0,0.5
0.66,0.7933452862614577,0.816552451238798,0.833621528829692,0.75,1.0,0.5
0.67,0.7905924118445308,0.8114710568242167,0.8300199455742201,0.75,1.0,0.5
0.68,0.7885618747024797,0.8076923076923077,0.827424758127783,0.75,1.0,0.5
0.69,0.7859799515429895,0.8029040064533477,0.8240917448082521,0.75,1.0,0.5
0.7,0.778852458516277,0.8019427954668106,0.8237100349810969,0.7333333333333334,1.0,0.4666666666666667
0.71,0.7756616184482042,0.7960901439044258,0.8194611377655026,0.7333333333333334,1.0,0.4666666666666667
0.72,0.7738039339025835,0.7924424972617744,0.8174680083227022,0.7333333333333334,1.0,0.4666666666666667
0.73,0.771056986721836,0.7871752349364289,0.8142677970696548,0.7333333333333334,1.0,0.4666666666666667
0.74,0.7680595978806775,0.7814938684503902,0.8106435858359402,0.7333333333333334,1.0,0.4666666666666667
0.75,0.7641652063132245,0.7740845070422535,0.8059903508149477,0.7333333333333334,1.0,0.4666666666666667
0.76,0.7602477040154327,0.7666950838306337,0.8011816857492289,0.7333333333333334,1.0,0.4666666666666667
0.77,0.7551272815607748,0.7570361860999426,0.794897368937322,0.7333333333333334,1.0,0.4666666666666667
0.78,0.7503814496116568,0.7479674796747967,0.7893056220420235,0.7333333333333334,1.0,0.4666666666666667
0.79,0.739413942971489,0.7396536542412679,0.7844290730415759,0.7166666666666667,1.0,0.43333333333333335
0.8,0.7358385367778617,0.7326615293420272,0.7805362918719203,0.7166666666666667,1.0,0.43333333333333335
0.81,0.7246825076917303,0.7240657698056802,0.7752809988472913,0.7,1.0,0.4
0.82,0.719651031056336,0.7143719806763285,0.7695111939290233,0.7,1.0,0.4
0.83,0.7153260620935376,0.7057745187901008,0.7650812728874861,0.7,1.0,0.4
0.84,0.7040693534284403,0.6967263743051266,0.7602273518652813,0.6833333333333333,1.0,0.36666666666666664
0.85,0.6948129821037246,0.6787954830614805,0.7498072777289946,0.6833333333333333,1.0,0.36666666666666664
