threshold,objective,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,average_precision,confusion_matrix,classification_report
0.2,1.1665310633304957,0.9326473339569691,0.931448311947823,0.9490478641276376,0.9070339399901624,0.9558626839054837,0.9275653923541247,0.980992842354385,0.9807542391943178,"[[2144, 99], [189, 1844]]","{'not_sarcastic': {'precision': 0.9189884269181312, 'recall': 0.9558626839054837, 'f1-score': 0.9370629370629371, 'support': 2243.0}, 'sarcastic': {'precision': 0.9490478641276376, 'recall': 0.9070339399901624, 'f1-score': 0.9275653923541247, 'support': 2033.0}, 'accuracy': 0.9326473339569691, 'macro avg': {'precision': 0.9340181455228844, 'recall': 0.931448311947823, 'f1-score': 0.9323141647085309, 'support': 4276.0}, 'weighted avg': {'precision': 0.9332800162181608, 'recall': 0.9326473339569691, 'f1-score': 0.9325473831824376, 'support': 4276.0}}"
0.21000000000000002,1.1657212712784097,0.9319457436856876,0.9307104860747291,0.9489690721649484,0.9055582882439744,0.9558626839054837,0.9267556003020387,0.980992842354385,0.9807542391943178,"[[2144, 99], [192, 1841]]","{'not_sarcastic': {'precision': 0.9178082191780822, 'recall': 0.9558626839054837, 'f1-score': 0.9364490063332606, 'support': 2243.0}, 'sarcastic': {'precision': 0.9489690721649484, 'recall': 0.9055582882439744, 'f1-score': 0.9267556003020387, 'support': 2033.0}, 'accuracy': 0.9319457436856876, 'macro avg': {'precision': 0.9333886456715152, 'recall': 0.9307104860747291, 'f1-score': 0.9316023033176497, 'support': 4276.0}, 'weighted avg': {'precision': 0.9326234703760006, 'recall': 0.9319457436856876, 'f1-score': 0.9318403312954977, 'support': 4276.0}}"
0.22000000000000003,1.1657212712784097,0.9319457436856876,0.9307104860747291,0.9489690721649484,0.9055582882439744,0.9558626839054837,0.9267556003020387,0.980992842354385,0.9807542391943178,"[[2144, 99], [192, 1841]]","{'not_sarcastic': {'precision': 0.9178082191780822, 'recall': 0.9558626839054837, 'f1-score': 0.9364490063332606, 'support': 2243.0}, 'sarcastic': {'precision': 0.9489690721649484, 'recall': 0.9055582882439744, 'f1-score': 0.9267556003020387, 'support': 2033.0}, 'accuracy': 0.9319457436856876, 'macro avg': {'precision': 0.9333886456715152, 'recall': 0.9307104860747291, 'f1-score': 0.9316023033176497, 'support': 4276.0}, 'weighted avg': {'precision': 0.9326234703760006, 'recall': 0.9319457436856876, 'f1-score': 0.9318403312954977, 'support': 4276.0}}"
0.23000000000000004,1.1657212712784097,0.9319457436856876,0.9307104860747291,0.9489690721649484,0.9055582882439744,0.9558626839054837,0.9267556003020387,0.980992842354385,0.9807542391943178,"[[2144, 99], [192, 1841]]","{'not_sarcastic': {'precision': 0.9178082191780822, 'recall': 0.9558626839054837, 'f1-score': 0.9364490063332606, 'support': 2243.0}, 'sarcastic': {'precision': 0.9489690721649484, 'recall': 0.9055582882439744, 'f1-score': 0.9267556003020387, 'support': 2033.0}, 'accuracy': 0.9319457436856876, 'macro avg': {'precision': 0.9333886456715152, 'recall': 0.9307104860747291, 'f1-score': 0.9316023033176497, 'support': 4276.0}, 'weighted avg': {'precision': 0.9326234703760006, 'recall': 0.9319457436856876, 'f1-score': 0.9318403312954977, 'support': 4276.0}}"
0.24000000000000005,1.1657212712784097,0.9319457436856876,0.9307104860747291,0.9489690721649484,0.9055582882439744,0.9558626839054837,0.9267556003020387,0.980992842354385,0.9807542391943178,"[[2144, 99], [192, 1841]]","{'not_sarcastic': {'precision': 0.9178082191780822, 'recall': 0.9558626839054837, 'f1-score': 0.9364490063332606, 'support': 2243.0}, 'sarcastic': {'precision': 0.9489690721649484, 'recall': 0.9055582882439744, 'f1-score': 0.9267556003020387, 'support': 2033.0}, 'accuracy': 0.9319457436856876, 'macro avg': {'precision': 0.9333886456715152, 'recall': 0.9307104860747291, 'f1-score': 0.9316023033176497, 'support': 4276.0}, 'weighted avg': {'precision': 0.9326234703760006, 'recall': 0.9319457436856876, 'f1-score': 0.9318403312954977, 'support': 4276.0}}"
0.25000000000000006,1.1654510687608624,0.9317118802619271,0.9304645441170311,0.9489427539969056,0.9050664043285784,0.9558626839054837,0.9264853977844915,0.980992842354385,0.9807542391943178,"[[2144, 99], [193, 1840]]","{'not_sarcastic': {'precision': 0.9174154899443732, 'recall': 0.9558626839054837, 'f1-score': 0.9362445414847161, 'support': 2243.0}, 'sarcastic': {'precision': 0.9489427539969056, 'recall': 0.9050664043285784, 'f1-score': 0.9264853977844915, 'support': 2033.0}, 'accuracy': 0.9317118802619271, 'macro avg': {'precision': 0.9331791219706393, 'recall': 0.9304645441170311, 'f1-score': 0.9313649696346038, 'support': 4276.0}, 'weighted avg': {'precision': 0.932404949209761, 'recall': 0.9317118802619271, 'f1-score': 0.9316046118442679, 'support': 4276.0}}"
0.26000000000000006,1.1657958394975252,0.9319457436856876,0.9306874598548822,0.9494324045407637,0.9050664043285784,0.9563085153811859,0.9267187106522287,0.980992842354385,0.9807542391943178,"[[2145, 98], [193, 1840]]","{'not_sarcastic': {'precision': 0.9174508126603935, 'recall': 0.9563085153811859, 'f1-score': 0.9364767518009168, 'support': 2243.0}, 'sarcastic': {'precision': 0.9494324045407637, 'recall': 0.9050664043285784, 'f1-score': 0.9267187106522287, 'support': 2033.0}, 'accuracy': 0.9319457436856876, 'macro avg': {'precision': 0.9334416086005786, 'recall': 0.9306874598548822, 'f1-score': 0.9315977312265727, 'support': 4276.0}, 'weighted avg': {'precision': 0.9326562795202608, 'recall': 0.9319457436856876, 'f1-score': 0.9318373463623566, 'support': 4276.0}}"
0.2700000000000001,1.1655254915656994,0.9317118802619271,0.9304415178971842,0.949406298399587,0.9045745204131825,0.9563085153811859,0.926448362720403,0.980992842354385,0.9807542391943178,"[[2145, 98], [194, 1839]]","{'not_sarcastic': {'precision': 0.917058572039333, 'recall': 0.9563085153811859, 'f1-score': 0.9362723701440419, 'support': 2243.0}, 'sarcastic': {'precision': 0.949406298399587, 'recall': 0.9045745204131825, 'f1-score': 0.926448362720403, 'support': 2033.0}, 'accuracy': 0.9317118802619271, 'macro avg': {'precision': 0.9332324352194601, 'recall': 0.9304415178971842, 'f1-score': 0.9313603664322224, 'support': 4276.0}, 'weighted avg': {'precision': 0.9324381154655249, 'recall': 0.9317118802619271, 'f1-score': 0.9316016014133923, 'support': 4276.0}}"
0.2800000000000001,1.1658703705388629,0.9319457436856876,0.9306644336350354,0.949896694214876,0.9045745204131825,0.9567543468568881,0.926681783824641,0.980992842354385,0.9807542391943178,"[[2146, 97], [194, 1839]]","{'not_sarcastic': {'precision': 0.917094017094017, 'recall': 0.9567543468568881, 'f1-score': 0.9365044730525857, 'support': 2243.0}, 'sarcastic': {'precision': 0.949896694214876, 'recall': 0.9045745204131825, 'f1-score': 0.926681783824641, 'support': 2033.0}, 'accuracy': 0.9319457436856876, 'macro avg': {'precision': 0.9334953556544465, 'recall': 0.9306644336350354, 'f1-score': 0.9315931284386133, 'support': 4276.0}, 'weighted avg': {'precision': 0.9326898642845471, 'recall': 0.9319457436856876, 'f1-score': 0.9318343310506184, 'support': 4276.0}}"
0.2900000000000001,1.1655998770368026,0.9317118802619271,0.9304184916773373,0.9498708010335918,0.9040826364977865,0.9567543468568881,0.9264112903225806,0.980992842354385,0.9807542391943178,"[[2146, 97], [195, 1838]]","{'not_sarcastic': {'precision': 0.916702263989748, 'recall': 0.9567543468568881, 'f1-score': 0.9363001745200699, 'support': 2243.0}, 'sarcastic': {'precision': 0.9498708010335918, 'recall': 0.9040826364977865, 'f1-score': 0.9264112903225806, 'support': 2033.0}, 'accuracy': 0.9317118802619271, 'macro avg': {'precision': 0.9332865325116699, 'recall': 0.9304184916773373, 'f1-score': 0.9313557324213253, 'support': 4276.0}, 'weighted avg': {'precision': 0.9324720572100789, 'recall': 0.9317118802619271, 'f1-score': 0.9315985604944629, 'support': 4276.0}}"
0.3000000000000001,1.1655998770368026,0.9317118802619271,0.9304184916773373,0.9498708010335918,0.9040826364977865,0.9567543468568881,0.9264112903225806,0.980992842354385,0.9807542391943178,"[[2146, 97], [195, 1838]]","{'not_sarcastic': {'precision': 0.916702263989748, 'recall': 0.9567543468568881, 'f1-score': 0.9363001745200699, 'support': 2243.0}, 'sarcastic': {'precision': 0.9498708010335918, 'recall': 0.9040826364977865, 'f1-score': 0.9264112903225806, 'support': 2033.0}, 'accuracy': 0.9317118802619271, 'macro avg': {'precision': 0.9332865325116699, 'recall': 0.9304184916773373, 'f1-score': 0.9313557324213253, 'support': 4276.0}, 'weighted avg': {'precision': 0.9324720572100789, 'recall': 0.9317118802619271, 'f1-score': 0.9315985604944629, 'support': 4276.0}}"
0.3100000000000001,1.1660193208631702,0.9319457436856876,0.9306183811953415,0.9508281573498965,0.9035907525823905,0.9576460098082925,0.9266078184110971,0.980992842354385,0.9807542391943178,"[[2148, 95], [196, 1837]]","{'not_sarcastic': {'precision': 0.9163822525597269, 'recall': 0.9576460098082925, 'f1-score': 0.9365598430346632, 'support': 2243.0}, 'sarcastic': {'precision': 0.9508281573498965, 'recall': 0.9035907525823905, 'f1-score': 0.9266078184110971, 'support': 2033.0}, 'accuracy': 0.9319457436856876, 'macro avg': {'precision': 0.9336052049548117, 'recall': 0.9306183811953415, 'f1-score': 0.9315838307228801, 'support': 4276.0}, 'weighted avg': {'precision': 0.9327593630457921, 'recall': 0.9319457436856876, 'f1-score': 0.9318282092508209, 'support': 4276.0}}"
0.3200000000000001,1.1660937400333378,0.9319457436856876,0.9305953549754946,0.9512953367875647,0.9030988686669946,0.9580918412839946,0.9265707797123391,0.980992842354385,0.9807542391943178,"[[2149, 94], [197, 1836]]","{'not_sarcastic': {'precision': 0.9160272804774083, 'recall': 0.9580918412839946, 'f1-score': 0.936587491828285, 'support': 2243.0}, 'sarcastic': {'precision': 0.9512953367875647, 'recall': 0.9030988686669946, 'f1-score': 0.9265707797123391, 'support': 2033.0}, 'accuracy': 0.9319457436856876, 'macro avg': {'precision': 0.9336613086324865, 'recall': 0.9305953549754946, 'f1-score': 0.931579135770312, 'support': 4276.0}, 'weighted avg': {'precision': 0.932795278250689, 'recall': 0.9319457436856876, 'f1-score': 0.9318251027422892, 'support': 4276.0}}"
0.3300000000000001,1.1658228088823313,0.9317118802619271,0.9303494130177966,0.9512700881285641,0.9026069847515986,0.9580918412839946,0.9262998485613326,0.980992842354385,0.9807542391943178,"[[2149, 94], [198, 1835]]","{'not_sarcastic': {'precision': 0.9156369833830422, 'recall': 0.9580918412839946, 'f1-score': 0.9363834422657952, 'support': 2243.0}, 'sarcastic': {'precision': 0.9512700881285641, 'recall': 0.9026069847515986, 'f1-score': 0.9262998485613326, 'support': 2033.0}, 'accuracy': 0.9317118802619271, 'macro avg': {'precision': 0.9334535357558031, 'recall': 0.9303494130177966, 'f1-score': 0.9313416454135639, 'support': 4276.0}, 'weighted avg': {'precision': 0.9325785413689276, 'recall': 0.9317118802619271, 'f1-score': 0.9315892547070551, 'support': 4276.0}}"
0.34000000000000014,1.1658228088823313,0.9317118802619271,0.9303494130177966,0.9512700881285641,0.9026069847515986,0.9580918412839946,0.9262998485613326,0.980992842354385,0.9807542391943178,"[[2149, 94], [198, 1835]]","{'not_sarcastic': {'precision': 0.9156369833830422, 'recall': 0.9580918412839946, 'f1-score': 0.9363834422657952, 'support': 2243.0}, 'sarcastic': {'precision': 0.9512700881285641, 'recall': 0.9026069847515986, 'f1-score': 0.9262998485613326, 'support': 2033.0}, 'accuracy': 0.9317118802619271, 'macro avg': {'precision': 0.9334535357558031, 'recall': 0.9303494130177966, 'f1-score': 0.9313416454135639, 'support': 4276.0}, 'weighted avg': {'precision': 0.9325785413689276, 'recall': 0.9317118802619271, 'f1-score': 0.9315892547070551, 'support': 4276.0}}"
